sha256,group,sample_id,system_output_status,source
007126f0fc94890776cb65cad74540fe4fefcb7a521b705108dc3a0b2f522878,blind,007126f0fc94890776cb65cad74540fe4fefcb7a521b705108dc3a0b2f522878,UNKNOWN,VirusTotal/MalwareBazaar
01c76495d19200f788bf96a3c637e28c78a8afccc80815238428640d3b1acde6,blind,01c76495d19200f788bf96a3c637e28c78a8afccc80815238428640d3b1acde6,UNKNOWN,VirusTotal/MalwareBazaar
032fbe071044c8c9b4a9b34cba13c608efa88b14071447e40b2aa2224af96d47,blind,032fbe071044c8c9b4a9b34cba13c608efa88b14071447e40b2aa2224af96d47,CONSISTENT,VirusTotal/MalwareBazaar
0478d3d06de4d0d16d5d9217167b3db05b0063c9dc93c84d02c492cfc940a0fa,blind,0478d3d06de4d0d16d5d9217167b3db05b0063c9dc93c84d02c492cfc940a0fa,UNKNOWN,VirusTotal/MalwareBazaar
053500eba6d914a49018df853e1efebf79cbd821f97743fa83fd0bb23d48322f,blind,053500eba6d914a49018df853e1efebf79cbd821f97743fa83fd0bb23d48322f,CONSISTENT,VirusTotal/MalwareBazaar
071cae0d46c2d4ca75870d6f4efb8e3122ed8d3dc9bf33366019f7d6652ff94c,blind,071cae0d46c2d4ca75870d6f4efb8e3122ed8d3dc9bf33366019f7d6652ff94c,CONSISTENT,VirusTotal/MalwareBazaar
08f053178be834469340c2fbb2cc1b842395052b53d5120891154b9118bf0d3d,blind,08f053178be834469340c2fbb2cc1b842395052b53d5120891154b9118bf0d3d,CONSISTENT,VirusTotal/MalwareBazaar
092371e7ef9a449ca253161e20e43d5cc918a73e30d363c97326c8e60a3b4835,blind,092371e7ef9a449ca253161e20e43d5cc918a73e30d363c97326c8e60a3b4835,CONSISTENT,VirusTotal/MalwareBazaar
092bf52aa8665708edda64ba3a4c84629727868ba7adee56b3c6ab170bb92028,blind,092bf52aa8665708edda64ba3a4c84629727868ba7adee56b3c6ab170bb92028,CONSISTENT,VirusTotal/MalwareBazaar
0b03b08b270ebad463e6872f32f9faecab3eb4e2e7fb1cff21e7058f1c75b953,blind,0b03b08b270ebad463e6872f32f9faecab3eb4e2e7fb1cff21e7058f1c75b953,CONSISTENT,VirusTotal/MalwareBazaar
0b9832c35dbd755f54d38e7afc8b402f3b50bbd1698995079ffc1ad21f27a9ab,blind,0b9832c35dbd755f54d38e7afc8b402f3b50bbd1698995079ffc1ad21f27a9ab,UNKNOWN,VirusTotal/MalwareBazaar
