sample_id,main_category,target_type,scenario_group,subscenario_desc,state_idlist,state_linkinfo,state_env,state_relativepath,state_tracker,expected_status,expected_ui_target_field,expected_ui_target_path,expected_execution_target_field,expected_execution_target_path,expected_tracker_status,target_file_relpath,target_file_exists_at_creation,sha256,lecmd_crosscheck,exiftool_crosscheck,system_output_status
CEEC_adb.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->adb.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->adb.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS env=PRESENT_NORMAL_NOT_FOUND relative=PRESENT_EXISTS tracker=PRESENT_VALID_MOUNT_MATCH | tracker=MOUNT_MATCH | outlier: relative | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,PRESENT_NORMAL_NOT_FOUND,PRESENT_EXISTS,PRESENT_VALID_MOUNT_MATCH,CONSISTENT,EnvironmentVariableDataBlock,D:\source\adb\platform-tools\adb.exe,EnvironmentVariableDataBlock,D:\source\adb\platform-tools\adb.exe,PRESENT_VALID_MOUNT_MATCH,D:\source\adb\platform-tools\adb.exe,TRUE,b16d2888e1925b6429114985a92a8c6466a6737845345b2e0375847eb90adb44,SKIP,SKIP,CONSISTENT
CEEC_control.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->control.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->control.exe | fields: env=PRESENT_NORMAL_NOT_FOUND | outlier: - | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,ABSENT,ABSENT,PRESENT_NORMAL_NOT_FOUND,ABSENT,NO_TRACKER,CONSISTENT,EnvironmentVariableDataBlock,C:\WINDOWS\system32\control.exe,EnvironmentVariableDataBlock,C:\WINDOWS\system32\control.exe,NO_TRACKER,C:\WINDOWS\system32\control.exe,TRUE,6294edc7ed986cece4ed66f5ef873aed771a54dedfb65a9be66d004b9279f116,SKIP,SKIP,CONSISTENT
CEEC_cmd.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->cmd.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->cmd.exe | fields: env=PRESENT_NORMAL_NOT_FOUND | outlier: - | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,ABSENT,ABSENT,PRESENT_NORMAL_NOT_FOUND,ABSENT,NO_TRACKER,CONSISTENT,EnvironmentVariableDataBlock,C:\WINDOWS\system32\cmd.exe,EnvironmentVariableDataBlock,C:\WINDOWS\system32\cmd.exe,NO_TRACKER,C:\WINDOWS\system32\cmd.exe,TRUE,23db6dd5bb4644850d5afe83f1126d582238162ab480479fb12a6b9998a82511,SKIP,SKIP,CONSISTENT
CEEC_OemDrv.exe,CONSISTENT,.exe,RELATIVE,CONSISTENT | UI=idlist(PRESENT_EXISTS)->OemDrv.exe | EXEC=idlist(PRESENT_EXISTS)->OemDrv.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS relative=PRESENT_NOT_FOUND tracker=PRESENT_VALID_MOUNT_MATCH | tracker=MOUNT_MATCH | outlier: relative | grup: UI=EXEC=idlist (field UI juga yang dieksekusi) -> consistent/idlist,PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,ABSENT,PRESENT_NOT_FOUND,PRESENT_VALID_MOUNT_MATCH,CONFLICTING,LinkTargetIDList,D:\source\software mnk\DAXA AIR IV Gen2\OemDrv.exe,LinkTargetIDList,D:\source\software mnk\DAXA AIR IV Gen2\OemDrv.exe,PRESENT_VALID_MOUNT_MATCH,D:\source\software mnk\DAXA AIR IV Gen2\OemDrv.exe,TRUE,ca543433d4b161a5c6d12b7ea973c8feb97b30ef9af2b618bec9157918151472,MATCH,SKIP,CONFLICTING
CEEC_Update.exe,CONSISTENT,.exe,TRACKER,CONSISTENT | UI=idlist(PRESENT_NOT_FOUND)->Update.exe | EXEC=idlist(PRESENT_NOT_FOUND)->Update.exe | fields: idlist=PRESENT_NOT_FOUND linkinfo=PRESENT_NETWORK tracker=PRESENT_INVALID | tracker=INVALID | outlier: tracker | grup: UI=EXEC=idlist (field UI juga yang dieksekusi) -> consistent/idlist,PRESENT_NOT_FOUND,PRESENT_NETWORK,ABSENT,ABSENT,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,C:\Users\yobel\AppData\Local\Discord\Update.exe,LinkTargetIDList,C:\Users\yobel\AppData\Local\Discord\Update.exe,PRESENT_INVALID,C:\Users\yobel\AppData\Local\Discord\Update.exe,TRUE,77b79b6444f5c063414a82685cfd00ddd6e1f4e2788d5dbc74ab5eb3489e69bf,MATCH,SKIP,CONFLICTING
CEEC_exiftool.exe,CONSISTENT,.exe,BASELINE,CONSISTENT | UI=env(PRESENT_NORMAL_NOT_FOUND)->exiftool.exe | EXEC=env(PRESENT_NORMAL_NOT_FOUND)->exiftool.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS env=PRESENT_NORMAL_NOT_FOUND relative=PRESENT_EXISTS tracker=PRESENT_VALID_MOUNT_MATCH | tracker=MOUNT_MATCH | outlier: relative | grup: UI=EXEC=env (field UI juga yang dieksekusi) -> consistent/env,PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,PRESENT_NORMAL_NOT_FOUND,PRESENT_EXISTS,PRESENT_VALID_MOUNT_MATCH,CONSISTENT,EnvironmentVariableDataBlock,D:\source\exiftool-13.30_64\exiftool-13.30_64\exiftool.exe,EnvironmentVariableDataBlock,D:\source\exiftool-13.30_64\exiftool-13.30_64\exiftool.exe,PRESENT_VALID_MOUNT_MATCH,D:\source\exiftool-13.30_64\exiftool-13.30_64\exiftool.exe,TRUE,0da7b04d28c9045d55ef3d2197fdf98eab34f7596c3297d4dc99caa97229dd89,SKIP,SKIP,CONSISTENT
CEEC_Fantech Core Driver.exe,CONSISTENT,.exe,TRACKER,CONSISTENT | UI=idlist(PRESENT_EXISTS)->Fantech Core Driver.exe | EXEC=idlist(PRESENT_EXISTS)->Fantech Core Driver.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS tracker=PRESENT_INVALID | tracker=INVALID | outlier: tracker | grup: UI=EXEC=idlist (field UI juga yang dieksekusi) -> consistent/idlist,PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,ABSENT,ABSENT,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,C:\Fantech Core Driver\Fantech Core Driver.exe,LinkTargetIDList,C:\Fantech Core Driver\Fantech Core Driver.exe,PRESENT_INVALID,C:\Fantech Core Driver\Fantech Core Driver.exe,TRUE,bc7f8597f37a1ee3298a0ea7f6511487134b76dfebcd104372b8992aeda4f31b,MATCH,SKIP,CONFLICTING
CEEC_Fantech Shooter III.exe,CONSISTENT,.exe,TRACKER,CONSISTENT | UI=idlist(PRESENT_NOT_FOUND)->Fantech Shooter III.exe | EXEC=idlist(PRESENT_NOT_FOUND)->Fantech Shooter III.exe | fields: idlist=PRESENT_NOT_FOUND linkinfo=PRESENT_NETWORK tracker=PRESENT_INVALID | tracker=INVALID | outlier: tracker | grup: UI=EXEC=idlist (field UI juga yang dieksekusi) -> consistent/idlist,PRESENT_NOT_FOUND,PRESENT_NETWORK,ABSENT,ABSENT,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,C:\Users\yobel\AppData\Local\Programs\fantech_shooter_3\Fantech Shooter III.exe,LinkTargetIDList,C:\Users\yobel\AppData\Local\Programs\fantech_shooter_3\Fantech Shooter III.exe,PRESENT_INVALID,C:\Users\yobel\AppData\Local\Programs\fantech_shooter_3\Fantech Shooter III.exe,TRUE,4ac55ae4eba1cea34b5d6cbb43da9dc7947f8158f75860133dae29aeef54871b,MATCH,SKIP,CONFLICTING
CEEC_launcher.exe,CONSISTENT,.exe,TRACKER,"CONSISTENT | UI=idlist(PRESENT_EXISTS)->launcher.exe | EXEC=idlist(PRESENT_EXISTS)->launcher.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS relative=PRESENT_NOT_FOUND tracker=PRESENT_INVALID | tracker=INVALID | outlier: relative,tracker | grup: >=2 outlier (relative,tracker) -> consistent/special",PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,ABSENT,PRESENT_EXISTS,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,D:\game\hsr\HoYoPlay\launcher.exe,LinkTargetIDList,D:\game\hsr\HoYoPlay\launcher.exe,PRESENT_INVALID,D:\game\hsr\HoYoPlay\launcher.exe,TRUE,796f643582498c4e45d7861ffea06e290c4ed5668ccfb54f68c5c6539b10925e,MATCH,SKIP,CONFLICTING
CEEC_launcher.exe-001,CONSISTENT,.exe,KHUSUS,"CONSISTENT | UI=idlist(PRESENT_EXISTS)->launcher.exe | EXEC=idlist(PRESENT_EXISTS)->launcher.exe | fields: idlist=PRESENT_EXISTS linkinfo=PRESENT_LOCAL_EXISTS relative=PRESENT_EXISTS tracker=PRESENT_INVALID | tracker=INVALID | outlier: relative,tracker | grup: >=2 outlier (relative,tracker) -> consistent/special",PRESENT_EXISTS,PRESENT_LOCAL_EXISTS,ABSENT,PRESENT_EXISTS,PRESENT_INVALID,CONFLICTING,LinkTargetIDList,D:\game\hsr\HoYoPlay\launcher.exe,LinkTargetIDList,D:\game\hsr\HoYoPlay\launcher.exe,PRESENT_INVALID,D:\game\hsr\HoYoPlay\launcher.exe,TRUE,0eba0d9790b7eab82b26626a360c8bd0b3ee8fc919c3b8ef5cc9433c7d90efc3,MATCH,SKIP,CONFLICTING
